Day,Hour,Min,Sec,Latitude,Longitude,GPSspeed,altamps,engrpm,Wheelspeed,CO2gps,Fuelconsgps,EngTq,Engpwr,FrctTq
16,6,0,0,44.948423,-93.258181,13.059,59.21,1236.129508,23.282705,24.95,28.45,1363.236623,176.47,240.861148
16,6,0,1,44.948421,-93.258263,15.338,64.78,1264.694453,24.9290395,25.413,28.98,1323.922558,175.22,256.7796715
16,6,0,2,44.948419,-93.258357,17.113,61.19,1226.045012,26.43514633,25.04266667,28.56,1327.006051,170.2733333,246.105423
16,6,0,3,44.948419,-93.258461,18.752,60.8,1231.161195,27.82900325,25.10825,28.635,1348.558512,173.8225,244.7908458
16,6,0,4,44.948418,-93.258575,20.344,59.664,1254.09303,29.1907452,25.4538,29.028,1374.16681,180.678,250.4257418
16,6,0,5,44.948418,-93.258697,22.02,61.65833333,1287.76396,30.57172117,26.30383333,29.99666667,1390.696761,188.0083333,259.5033615
16,6,0,6,44.948419,-93.25883,23.673,64.76666667,1299.603658,33.32682483,26.35616667,30.05666667,1366.994377,186.4533333,267.4747943
16,6,0,7,44.948419,-93.258971,24.852,66.37333333,1271.780464,35.80936233,26.03183333,29.68666667,1371.595321,183.2533333,259.4750952
16,6,0,8,44.948417,-93.259119,25.883,69.03,1275.390336,38.10232567,25.3735,28.935,1316.414505,176.9933333,259.4183862
16,6,0,9,44.948414,-93.259274,26.619,69.04333333,1261.458775,39.99997417,21.92433333,25.00166667,1131.498256,152.4133333,243.3348203
16,6,0,10,44.948411,-93.259427,26.33,71.54666667,1229.352662,41.29564983,18.03333333,20.565,920.9982158,122.0283333,216.5918183
16,6,0,11,44.94841,-93.259577,25.622,69.525,1256.403083,41.950825,14.995,17.10166667,775.2609615,101.5033333,192.5516673
16,6,0,12,44.94841,-93.259723,25.165,65.28333333,1305.680881,42.24122867,14.76016667,16.83333333,737.1982113,101.415,179.2320005
16,6,0,13,44.948411,-93.259869,25.678,62.525,1389.414205,42.40201733,13.749,15.68,650.834838,98.19166667,181.8664225
16,6,0,14,44.948414,-93.260017,26.083,64.52166667,1465.294832,42.23538033,10.61266667,12.10333333,505.5956213,81.42833333,173.8886438
16,6,0,15,44.948416,-93.260163,25.528,68.575,1533.495827,41.81214433,9.959166667,11.35833333,505.7327007,83.62,179.256024
16,6,0,16,44.948417,-93.260307,24.925,69.42833333,1596.859744,41.5132085,10.8275,12.34833333,515.265335,86.56833333,189.919649
16,6,0,17,44.948419,-93.260447,24.724,70.19833333,1580.865417,41.26636083,8.897666667,10.14666667,433.9297873,72.59666667,189.8945567
16,6,0,18,44.948418,-93.260586,24.148,72.27333333,1558.612042,40.80984617,4.921833333,5.613333333,268.4888182,44.82833333,181.8390712
16,6,0,19,44.948417,-93.260721,23.181,71.875,1512.316894,39.75279667,1.944666667,2.218333333,136.1498322,22.25666667,165.8296492
16,6,0,20,44.948416,-93.260847,21.139,69.88833333,1466.349008,38.22460867,1.689,1.926666667,114.3743583,18.55,160.4967602
16,6,0,21,44.948416,-93.260961,19.465,67.53333333,1462.253909,36.47713267,1.574166667,1.795,63.61754517,10.19333333,160.486754
16,6,0,22,44.948416,-93.261065,17.776,66.37833333,1430.147302,34.196695,0.124166667,0.141666667,18.48495133,2.946666667,157.8119703
16,6,0,23,44.948415,-93.261156,15.42,66.58833333,1373.632866,31.468466,0,0,0,0,155.126866
16,6,0,24,44.948415,-93.261235,13.454,66.21666667,1287.512223,28.30820633,0.013333333,0.015,0.278515667,0.028333333,149.7785527
16,6,0,25,44.948416,-93.261301,11.023,67.12333333,1189.045866,25.00565967,0.247333333,0.281666667,21.81346367,1.743333333,144.4199588
16,6,0,26,44.948421,-93.261354,9.298,66.93833333,1088.5904,21.8814685,0.689166667,0.785,55.0794835,4.346666667,136.4031573
16,6,0,27,44.948435,-93.261398,8.865,66.545,1014.088323,19.1025035,2.583666667,2.945,178.8892858,18.615,131.0990367
16,6,0,28,44.948462,-93.261435,9.827,65.03,1039.179423,17.08395283,6.6455,7.576666667,361.3910403,47.115,141.8589217
16,6,0,29,44.948509,-93.261462,11.732,63.93666667,1153.205024,16.3123845,12.7505,14.53833333,588.968748,91.62166667,168.6052757
16,6,0,29,44.948509,-93.261462,11.732,64.38666667,1204.726846,17.03819867,17.83,20.33166667,831.8435315,123.72,192.660724
16,6,0,29,44.948509,-93.261462,11.732,64.06666667,1267.091964,18.999936,21.64116667,24.67833333,1032.469211,148.395,211.3943178
16,6,0,29,44.948509,-93.261462,11.732,63.03,1347.600343,21.847132,25.25083333,28.795,1230.196312,175.55,232.7602812
16,6,0,29,44.948509,-93.261462,11.732,62.08833333,1383.126241,25.29869817,26.20516667,29.88333333,1201.450909,174.36,243.3838077
16,6,0,29,44.948509,-93.261462,11.732,63.62833333,1352.592334,28.58373267,22.14333333,25.25166667,1018.949155,145.86,229.9501673
16,6,0,29,44.948509,-93.261462,11.732,65.74166667,1238.127058,30.709527,16.03833333,18.29,791.371447,101.3533333,200.5389177
16,6,0,29,44.948509,-93.261462,11.732,64.90166667,1224.089149,31.08002967,10.9455,12.48166667,548.2181478,69.22666667,176.4919775
16,6,0,29,44.948509,-93.261462,11.732,64.145,1208.480511,29.94409483,6.914833333,7.885,326.3707275,42.87,160.431702
16,6,0,29,44.948509,-93.261462,11.732,63.02,1130.195351,27.4333235,3.126333333,3.565,119.8282227,15.05833333,141.7067725
16,6,0,29,44.948509,-93.261462,11.732,65.04666667,1030.339709,23.56550833,0.896666667,1.023333333,78.801573,6.023333333,123.0499732
16,6,0,29,44.948509,-93.261462,11.732,65.975,931.42206,19.67658833,1.515833333,1.73,132.8393227,10.06666667,115.0612685
16,6,0,29,44.948509,-93.261462,11.732,66.4,853.7277783,16.26298183,2.135,2.436666667,186.8770723,14.11,109.7388688
16,6,0,32,44.948702,-93.261481,18.545,64.65833333,905.099862,13.6211955,6.2745,7.158333333,365.0557278,41.83166667,131.1388688
16,6,0,37,44.949106,-93.261452,14.571,65.18333333,971.4637182,12.70142767,9.210333333,10.50666667,460.1899948,56.18,152.4887807
16,6,0,42,44.949255,-93.261436,5.097,67.25,1008.37792,12.78196783,9.264166667,10.56833333,465.1985662,57.26333333,157.8301362
16,6,0,45,44.949357,-93.261455,10.459,64.91666667,1030.66921,13.64568567,9.089666667,10.36833333,444.2839203,56.16166667,160.493829
16,6,0,46,44.949395,-93.261483,10.669,62.59666667,1097.179371,14.390821,10.21733333,11.65333333,499.4413448,64.85333333,168.482531
16,6,0,47,44.949419,-93.261535,11.36,63.57666667,1148.631823,15.1351775,10.59383333,12.08166667,518.8600112,68.68166667,173.8561073
16,6,0,48,44.949427,-93.261604,11.904,66.06166667,1146.971074,16.161288,9.894833333,11.28333333,508.5049588,66.895,168.2364067
16,6,0,49,44.949425,-93.261675,12.242,66.46833333,1184.388799,17.03259333,13.00116667,14.825,639.9979857,92.04333333,173.467436
16,6,0,50,44.949421,-93.261757,14.727,66.48,1226.812879,18.51487617,17.12466667,19.52666667,819.32523,116.0483333,192.2965903
16,6,0,51,44.949415,-93.261852,16.859,69.815,1272.00212,20.61731483,20.15083333,22.97833333,952.359096,132.585,208.4603655
16,6,0,52,44.949411,-93.261955,18.372,70.05166667,1277.738136,22.99084367,18.404,20.98666667,844.3290332,119.99,208.6418973
16,6,0,53,44.949411,-93.262061,17.933,68.15333333,1284.063919,25.07792033,17.40833333,19.85166667,770.8726172,112.1183333,208.6340013
16,6,0,54,44.949411,-93.262159,16.32,69.07666667,1217.088029,26.34149967,13.96783333,15.92833333,603.049014,86.18333333,192.853702
16,6,0,55,44.949412,-93.262243,13.498,70.12666667,1099.412081,26.22009983,7.9225,9.035,376.1085127,46.65333333,166.2830363
16,6,0,56,44.949412,-93.262312,11.363,69.76333333,1020.51593,24.74672317,3.775166667,4.306666667,185.9133262,21.10333333,142.1658993
16,6,0,57,44.949413,-93.262368,9.208,66.36333333,955.9767055,22.19251517,0.700666667,0.8,57.0725045,4.486666667,123.3557288
16,6,0,58,44.949413,-93.262413,7.406,64.05666667,883.1006878,19.00873633,1.2555,1.433333333,106.6317903,8.121666667,115.1578947
16,6,0,59,44.949411,-93.262448,5.757,62.57166667,824.6865008,15.68460883,1.706833333,1.948333333,160.1127043,12.10166667,109.764614
16,6,1,0,44.949408,-93.262476,3.919,61.20666667,765.9391597,12.33851517,2.2865,2.61,208.3012865,15.74166667,104.414614
16,6,1,1,44.949408,-93.262492,1.156,60.87833333,727.0490752,9.092427333,2.8875,3.295,261.7655625,19.795,99.064614
16,6,1,2,44.949409,-93.262498,0.03,61.44,725.530881,6.291055167,3.119833333,3.56,291.3628803,22.115,96.34489783
16,6,1,3,44.94941,-93.262499,0.054,63.11166667,729.720856,4.012341333,3.188,3.638333333,296.8852325,22.65166667,96.3
16,6,1,4,44.949409,-93.2625,0.025,68.57833333,736.885874,2.210637833,3.085833333,3.521666667,288.9608353,22.255,96.3
16,6,1,5,44.949407,-93.262502,0.022,69.99166667,743.1012217,0.836514,3.0935,3.53,280.9357573,21.835,96.3
16,6,1,6,44.949405,-93.262502,0.005,71.84333333,747.9237972,0.1292035,2.978333333,3.398333333,278.2221752,21.76833333,96.3
16,6,1,7,44.949404,-93.262502,0.003,69.81666667,753.0257047,0.006392167,2.8185,3.216666667,267.5769377,21.09833333,96.3
16,6,1,8,44.949402,-93.262502,0.013,67.925,751.9249355,5.28333333333333e-05,2.746333333,3.133333333,262.1883748,20.64333333,96.3
16,6,1,9,44.9494,-93.262502,0.015,67.28166667,750.1792812,0,2.752333333,3.14,264.805688,20.8,96.3
16,6,1,10,44.949398,-93.262502,0.025,64.22666667,750.1460123,0,2.7475,3.133333333,264.824999,20.8,96.3
16,6,1,11,44.949396,-93.262501,0.028,64.86166667,751.0973298,0,2.626333333,2.995,262.169163,20.61833333,96.3
16,6,1,12,44.949394,-93.262501,0.023,64.22333333,750.4837255,0,2.61,2.976666667,259.494163,20.39166667,96.3
16,6,1,13,44.949392,-93.2625,0.03,66.645,749.217485,0,2.507333333,2.858333333,259.4751245,20.35666667,96.3
16,6,1,14,44.94939,-93.2625,0.029,68.20333333,750.0356632,0,2.502166667,2.853333333,259.4751245,20.37833333,96.3
16,6,1,15,44.949388,-93.2625,0.022,66.435,750.165753,0,2.375666667,2.708333333,256.819311,20.175,96.3
16,6,1,16,44.949385,-93.2625,0.031,67.05166667,749.5668515,0,2.386833333,2.721666667,256.8,20.15833333,96.3
16,6,1,17,44.949383,-93.262501,0.012,69.14,748.5903568,0,2.513333333,2.866666667,259.4559532,20.34,96.3
16,6,1,18,44.949381,-93.262501,0.029,69.33166667,750.1138573,0,2.506833333,2.858333333,259.4752448,20.38166667,96.3
16,6,1,19,44.949379,-93.262502,0.068,70.29,749.9387268,0,2.4955,2.846666667,259.4752448,20.37666667,96.3
16,6,1,20,44.949379,-93.262502,0.035,69.865,749.3582907,0,2.5185,2.871666667,262.1313372,20.57,96.3
16,6,1,21,44.949382,-93.262502,0.009,70.65666667,749.436835,0,2.6395,3.01,264.8063372,20.78166667,96.3
16,6,1,22,44.949385,-93.262501,0.008,70.6,749.5408895,0,2.646,3.018333333,267.4813372,20.995,96.3
16,6,1,23,44.949388,-93.262501,0.018,65.67666667,749.913943,0,2.659,3.033333333,267.500384,21.00666667,96.3
16,6,1,24,44.949391,-93.2625,0.012,64.36833333,749.0893298,0,2.688666667,3.068333333,270.1560923,21.19333333,96.3
16,6,1,25,44.949393,-93.2625,0.006,61.30833333,749.3315792,0,2.821666667,3.22,272.8310923,21.41,96.3
16,6,1,26,44.949396,-93.262501,0.026,63.92666667,749.4160613,0,2.8285,3.228333333,272.85,21.41333333,96.3
16,6,1,27,44.949398,-93.2625,0.016,66.75,750.2233267,0,2.847333333,3.25,272.85,21.435,96.3
16,6,1,28,44.9494,-93.262501,0.017,68.26,749.8982118,0,2.865666667,3.27,272.85,21.425,96.3
16,6,1,29,44.949402,-93.262502,0.021,69.71166667,749.9580227,0,2.871666667,3.276666667,272.85,21.42666667,96.3
16,6,1,30,44.949403,-93.262502,0.015,67.29166667,749.813684,0,2.871666667,3.276666667,272.85,21.42333333,96.3
16,6,1,31,44.949404,-93.262502,0.018,69.38333333,750.2676962,0,2.8715,3.276666667,272.85,21.435,96.3
16,6,1,32,44.949404,-93.262503,0.017,67.10166667,750.457135,0,2.8655,3.27,272.85,21.44,96.3
